690,0.04,0.03,98.28,0.01,85.64
691,0.02,0.03,99.31,0.01,87.12
692,0.01,0.03,100,0.01,88.15
693,0.01,0.02,99.33,0.01,88.74
694,0.01,0.03,98.24,0.01,89.09
695,0.01,0.03,96.55,0.01,89.28
696,0.01,0.03,95.29,0.01,89.27
697,0.01,0.03,93.86,0.01,89.38
698,0.01,0.03,93.93,0.01,89.2
699,0.01,0.02,91.43,0.01,89.08
700,0.01,0.03,86.62,0.01,89
701,0.01,0.03,77.34,0.01,88.8
702,0.01,0.03,61.95,0.01,88.41
703,0.01,0.03,46.06,0.01,88.28
704,0.01,0.03,31.94,0.01,87.97
705,0.02,0.03,20.68,0.01,87.69
706,0.01,0.03,13.32,0.01,87.7
707,0.01,0.02,8.79,0.01,87.51
708,0.01,0.03,5.85,0.01,87.77
709,0.01,0.03,3.78,0.01,87.84
710,0.01,0.03,2.62,0.01,88.24
711,0.01,0.03,1.86,0.01,88.62
712,0.01,0.03,1.36,0.01,89.19
713,0.01,0.03,1.02,0.01,89.96
714,0.01,0.03,0.69,0.02,90.56
715,0.01,0.03,0.63,0.01,91.69
716,0.01,0.03,0.53,0.02,92.55
717,0.01,0.03,0.46,0.02,93.23
718,0.01,0.03,0.41,0.02,93.92
719,0.01,0.03,0.38,0.02,94.37
720,0.01,0.02,0.32,0.02,94.87
721,0.01,0.03,0.3,0.02,95.3
722,0.01,0.03,0.27,0.02,95.8
723,0.01,0.03,0.25,0.02,95.79
724,0.01,0.03,0.22,0.02,95.93
725,0.01,0.03,0.24,0.02,95.68
726,0.02,0.02,0.21,0.02,95.38
727,0.03,0.03,0.18,0.02,94.63
728,0.02,0.03,0.21,0.02,93.93
729,0.01,0.03,0.19,0.03,93.44
730,0.01,0.03,0.16,0.03,93.05
731,0.01,0.03,0.17,0.05,92.5
732,0.01,0.03,0.17,0.05,92.33
733,0.01,0.03,0.15,0.07,92.15
734,0.01,0.02,0.17,0.11,92.15
735,0.01,0.03,0.15,0.14,92.14
736,0.01,0.03,0.15,0.2,92.34
737,0.01,0.03,0.11,0.27,92.77
738,0.01,0.03,0.15,0.36,93.05
739,0.01,0.03,0.14,0.48,93.56
740,0.01,0.03,0.17,0.6,94.14
741,0.01,0.03,0.13,0.78,94.7
742,0.01,0.03,0.13,0.95,95.3
743,0.01,0.03,0.13,1.13,96.26
744,0.01,0.02,0.13,1.41,96.87
745,0.01,0.03,0.12,1.75,97.21
746,0.01,0.03,0.16,2.15,97.8
747,0.01,0.03,0.14,2.69,98.11
748,0.01,0.03,0.03,3.38,98.54
749,0.01,0.03,0.12,4.4,98.93
750,0.01,0.03,0.15,5.98,99.34
751,0.01,0.03,0.13,8.03,99.53
752,0.01,0.03,0.14,11.2,99.17
753,0.01,0.03,0.14,16.24,98.93
754,0.01,0.03,0.13,23.43,98.38
755,0.01,0.03,0.25,34.31,97.68
756,0.01,0.03,0.12,50.37,96.88
757,0.01,0.03,0.14,68,96.47
758,0.01,0.02,0.14,86.04,95.84
759,0.01,0.03,0.13,96.79,95.6
760,0.01,0.03,0.13,99.44,94.25
761,0.01,0.03,0.15,97.14,94.04
762,0.01,0.03,0.13,91.52,94.24
763,0.01,0.03,0.15,85.75,94.05
764,0.01,0.02,0.13,80.82,94.09
765,0.01,0.03,0.13,76.66,94.54
766,0.01,0.03,0.13,74.82,94.9
767,0.01,0.03,0.15,73.3,95.06
768,0.01,0.02,0.15,72.83,95.51
769,0.01,0.03,0.16,73.07,95.68
770,0.01,0.02,0.17,73.79,95.75
771,0.01,0.02,0.15,75.1,95.86
772,0.01,0.03,0.12,76.8,95.79
773,0.01,0.03,0.14,79,95.91
774,0.01,0.03,0.16,81.5,96.26
775,0.01,0.02,0.15,84.56,96.4
776,0.01,0.03,0.13,87.04,96.54
777,0.01,0.03,0.15,89.98,96.85
778,0.01,0.03,0.13,92.9,96.67
779,0.01,0.03,0.13,95.26,97.19
780,0.01,0.03,0.16,97.3,97.4
781,0.01,0.02,0.15,98.89,97.87
782,0.01,0.03,0.17,99.64,98.02
783,0.01,0.03,0.16,100,98.17
784,0.01,0.04,0.11,99.97,98.6
785,0.01,0.05,0.18,99.37,98.38
786,0.01,0.09,0.15,98.24,98.96
787,0.01,0.16,0.16,97.2,98.9
788,0.01,0.13,0.17,96.12,98.62
789,0.01,0.1,0.16,94.66,98.27
790,0.01,0.05,0.16,93.59,98.63
791,0.01,0.03,0.16,93.14,98.8
792,0.01,0.04,0.17,92.72,98.94
793,0.01,0.03,0.18,92.74,99.29
794,0.01,0.03,0.18,92.76,99.46
795,0.01,0.03,0.17,93.15,99.36
796,0.01,0.03,0.15,93.64,99.14
797,0.01,0.03,0.18,93.92,98.99
798,0.01,0.03,0.17,94.2,99.2
799,0.01,0.03,0.15,94.45,98.95
800,0.01,0.04,0.17,95.1,99.27
801,0.01,0.03,0.18,95.67,99.06
802,0.01,0.03,0.17,96.37,99.36
803,0.01,0.04,0.19,96.63,99.51
804,0.01,0.04,0.15,97.13,99.74
805,0.01,0.03,0.16,97.4,99.65
806,0.01,0.04,0.18,97.19,100
807,0.01,0.03,0.17,97.04,99.47
808,0.01,0.04,0.2,96.52,99.48
809,0.01,0.04,0.15,96.2,98.66
810,0.01,0.05,0.16,95.72,98.47
811,0.01,0.04,0.19,95.06,97.87
812,0.01,0.04,0.17,94.7,98.28
813,0.01,0.05,0.14,94.36,98.34
814,0.01,0.05,0.17,94.02,98.44
815,0.01,0.07,0.16,93.87,98.82
816,0.01,0.08,0.18,94.25,99.09
817,0.01,0.11,0.16,94.55,99.4
818,0.01,0.14,0.17,94.84,99.56
819,0.01,0.11,0.2,95.12,99.77
820,0.01,0.1,0.19,95.36,99.71
821,0.01,0.09,0.2,96.04,99.63
822,0.01,0.06,0.21,96.43,99.67
823,0.01,0.05,0.22,96.71,99.56
824,0.01,0.05,0.21,97.15,99.53
825,0.01,0.04,0.2,97.41,99.17
826,0.01,0.03,0.21,97.73,98.88
827,0.01,0.04,0.21,97.95,98.32
828,0.01,0.04,0.22,97.99,97.86
829,0.01,0.04,0.21,97.93,97.94
830,0.01,0.04,0.2,97.85,97.67
831,0.01,0.04,0.2,97.78,97.81
832,0.01,0.04,0.22,97.33,97.48
833,0.01,0.03,0.19,97.26,96.8
834,0.01,0.03,0.21,97.01,96.19
835,0.01,0.03,0.18,96.71,95.65
836,0.01,0.03,0.21,96.33,94.84
837,0.01,0.03,0.2,96,93.93
838,0.01,0.04,0.2,95.42,92.81
839,0.01,0.04,0.22,94.82,91.93
840,0.01,0.03,0.22,94.27,91.8
841,0.01,0.04,0.03,93.65,91.4
842,0.01,0.04,0.21,93.3,91.64
843,0.01,0.04,0.22,92.76,91.86
844,0.01,0.04,0.21,92.17,92.23
845,0.01,0.03,0.34,91.72,92.7
846,0.01,0.04,0.22,91.3,93.09
847,0.01,0.03,0.21,90.83,94.01
848,0.01,0.03,0.19,90.53,94.49
849,0.02,0.03,0.2,89.99,95.21
850,0.02,0.04,0.2,89.56,95.4
851,0.03,0.03,0.07,89.65,95.59
852,0.02,0.03,0.22,89.42,95.76
853,0.01,0.04,0.22,89.33,95.81
854,0.01,0.03,0.23,89.4,96.39
855,0.01,0.04,0.19,89.15,96.21
856,0.01,0.05,0.21,89.26,96.68
857,0.01,0.04,0.21,89.31,96.96
858,0.01,0.04,0.25,89.21,97.67
859,0.01,0.04,0.21,89.26,98.19
860,0.01,0.04,0.25,88.93,98.9
861,0.01,0.04,0.21,88.51,98.29
862,0.01,0.05,0.24,88.2,98.31
863,0.01,0.05,0.25,87.9,98.11
864,0.01,0.04,0.23,87.83,98.12
865,0.01,0.03,0.26,87.6,97.52
866,0.01,0.04,0.22,87.78,97.38
867,0.01,0.04,0.22,87.92,96.7
868,0.01,0.04,0.28,88.29,96.63
869,0.01,0.04,0.25,88.49,96.12
870,0.01,0.03,0.23,88.58,95.87
871,0.01,0.05,0.25,89.31,95.74
872,0.01,0.04,0.22,89.7,95.62
873,0.01,0.04,0.09,89.8,95.43
874,0.01,0.04,0.26,90.02,95.2
875,0.01,0.04,0.26,90.33,94.94
876,0.01,0.04,0.26,90.55,94.98
877,0.01,0.04,0.26,91.19,94.59
878,0.01,0.04,0.26,91.56,94.48
879,0.01,0.04,0.16,92.22,93.84
880,0.01,0.04,0.26,92.88,93.97
881,0.01,0.04,0.23,93.46,93.6
882,0.02,0.04,0.25,93.9,93.4
883,0.02,0.04,0.1,94.17,92.88
884,0.01,0.03,0.24,94.5,92.36
885,0.01,0.04,0.27,94.52,91.89
886,0.02,0.04,0.25,94.66,91.38
887,0.02,0.03,0.29,94.4,91.03
888,0.02,0.03,0.26,94.05,91
889,0.01,0.04,0.24,93.63,90.91
890,0.02,0.04,0.24,93.3,91.64
891,0.01,0.04,0.25,92.75,91.8
892,0.01,0.04,0.28,92.06,91.91
893,0.01,0.04,0.25,91.26,92.28
894,0.01,0.04,0.1,90.44,92.38
895,0.01,0.04,0.13,89.83,92.27
896,0.01,0.04,0.29,89.12,92.56
897,0.01,0.05,0.31,88.47,91.97
898,0.01,0.04,0.28,88.25,92
899,0.01,0.05,0.28,87.73,91.8
900,0.01,0.04,0.26,87.56,91.64
901,0.01,0.06,0.26,87.59,91.09
902,0.01,0.05,0.27,87.55,90.5
903,0.01,0.04,0.29,87.69,89.66
904,0.01,0.05,0.31,87.83,89.42
905,0.01,0.04,0.27,87.98,87.81
906,0.01,0.04,0.33,88.17,86.65
907,0.01,0.06,0.31,88.49,84.43
908,0.01,0.04,0.35,88.64,81.21
909,0.01,0.04,0.34,88.79,77.87
910,0.01,0.05,0.37,89.26,74.6
911,0.01,0.06,0.33,89.56,67.54
912,0.01,0.04,0.29,89.99,62.95
913,0.01,0.05,0.29,90.53,55.12
914,0.01,0.04,0.27,90.93,48.54
915,0.01,0.05,0.29,91.55,41.38
916,0.01,0.05,0.28,91.98,36.26
917,0.01,0.06,0.32,92.43,28.84
918,0.01,0.05,0.31,92.92,23.48
919,0.01,0.04,0.3,93.34,19.3
920,0.01,0.05,0.29,93.44,16.51
921,0.01,0.06,0.3,93.81,13.16
922,0.01,0.06,0.35,93.98,10.22
923,0.01,0.06,0.36,94.25,8.26
924,0.01,0.06,0.37,94.42,6.62
925,0.01,0.07,0.37,94.09,5.31
926,0.01,0.07,0.36,93.29,4.14
927,0.01,0.05,0.21,91.23,3.41
928,0.01,0.07,0.43,87.89,3.02
929,0.01,0.05,0.45,82.49,2.38
930,0.01,0.05,0.43,74.02,1.99
931,0.01,0.06,0.37,63.75,1.67
932,0.01,0.06,0.36,52.67,1.27
933,0.01,0.06,0.39,41.37,0.96
934,0.01,0.07,0.33,31.52,0.9
935,0.01,0.05,0.38,23.08,0.84
936,0.01,0.05,0.41,17.35,0.82
937,0.01,0.05,0.37,12.83,0.67
938,0.01,0.06,0.37,9.62,0.55
939,0.01,0.07,0.14,7.11,0.44
940,0.01,0.06,0.33,5.5,0.3
941,0.01,0.06,0.44,4.08,0.36
942,0.01,0.07,0.36,3.11,0.48
943,0.01,0.08,0.45,2.53,0.31
944,0.01,0.08,0.48,1.9,0.3
945,0.01,0.08,0.47,1.58,0.28
946,0.01,0.06,0.44,1.21,0.35
947,0.01,0.06,0.48,1.01,0.31
948,0.01,0.07,0.5,0.81,0.3
949,0.01,0.08,0.49,0.67,0.27
950,0.01,0.09,0.48,0.54,0.21
951,0.01,0.07,0.43,0.46,0.24
952,0.02,0.08,0.3,0.39,0.28
953,0.01,0.1,0.49,0.32,0.13
954,0.01,0.1,0.18,0.26,0.31
955,0.01,0.09,0.21,0.23,0.26
956,0.01,0.11,0.18,0.21,0.33
957,0.02,0.1,0.2,0.18,0.28
958,0.01,0.12,0.25,0.15,0.4
959,0.02,0.12,0.54,0.15,0.43
960,0.02,0.11,0.53,0.14,0.5
961,0.03,0.13,0.45,0.12,0.44
962,0.04,0.12,0.48,0.1,0.4
963,0.05,0.11,0.25,0.1,0.52
964,0.05,0.13,0.53,0.08,0.42
965,0.04,0.15,0.5,0.08,0.57
966,0.03,0.13,0.58,0.09,0.78
967,0.03,0.14,0.6,0.08,0.71
968,0.03,0.14,0.49,0.07,0.85
969,0.03,0.13,0.25,0.06,1.02
970,0.02,0.12,0.29,0.06,1.17
971,0.03,0.13,0.6,0.06,1.21
972,0.03,0.11,0.67,0.04,1.47
973,0.03,0.1,0.66,0.04,1.65
974,0.03,0.1,0.62,0.04,2.01
975,0.02,0.12,0.68,0.05,2.16
976,0.02,0.14,0.65,0.05,2.3
977,0.02,0.12,0.63,0.04,2.69
978,0.02,0.12,0.68,0.05,2.98
979,0.02,0.12,0.65,0.05,3.14
980,0.02,0.16,0.66,0.03,3.24
981,0.02,0.15,0.63,0.03,3.77
982,0.02,0.17,0.76,0.04,3.86
983,0.03,0.13,0.73,0.04,4.06
984,0.02,0.15,0.72,0.04,4.15
985,0.03,0.16,0.88,0.04,4.19
986,0.03,0.17,0.8,0.04,4.24
987,0.03,0.17,0.87,0.05,4.48
988,0.04,0.23,0.89,0.04,4.76
989,0.05,0.22,0.89,0.04,4.93
990,0.03,0.24,0.89,0.05,4.84
991,0.04,0.37,0.99,0.03,4.99
992,0.05,0.46,0.94,0.03,4.84
993,0.05,0.51,0.93,0.03,4.67
994,0.05,0.59,0.66,0.04,4.93
995,0.06,0.55,1.05,0.05,4.65
996,0.06,0.61,1.11,0.04,4.95
997,0.05,0.43,1.25,0.05,5.16
998,0.06,0.37,1.22,0.04,5.21
1000,0.07,0.3,1.3,0.04,4.46
